judge_model,experiment_type,app,variant,detector_model,method,n_omissions,n_true_gaps,found_strict,found_broad,recall_strict,recall_broad
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,twoshot,7,2,1,1,0.5,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,zeroshot,12,2,1,1,0.5,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,oneshot-tracker,7,2,1,1,0.5,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,oneshot-warehouse,7,2,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,twoshot,8,2,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,zeroshot,6,2,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,oneshot-tracker,6,4,3,4,0.75,1.0
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,oneshot-warehouse,6,4,3,3,0.75,0.75
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,twoshot,7,4,2,3,0.5,0.75
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,zeroshot,6,4,3,3,0.75,0.75
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,oneshot-tracker,12,4,3,4,0.75,1.0
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,oneshot-warehouse,13,4,3,4,0.75,1.0
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,twoshot,11,4,3,3,0.75,0.75
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,zeroshot,13,4,4,4,1.0,1.0
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,oneshot-tracker,19,4,2,2,0.5,0.5
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,oneshot-warehouse,12,4,2,2,0.5,0.5
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,twoshot,15,4,2,2,0.5,0.5
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,zeroshot,20,4,2,2,0.5,0.5
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,oneshot-tracker,13,4,3,3,0.75,0.75
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,oneshot-warehouse,14,4,3,4,0.75,1.0
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,twoshot,16,4,3,4,0.75,1.0
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,zeroshot,19,4,3,3,0.75,0.75
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,4,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,4,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,twoshot,3,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,zeroshot,4,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,oneshot-tracker,6,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,8,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,twoshot,7,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,zeroshot,7,1,0,1,0.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,oneshot-tracker,12,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,oneshot-warehouse,12,1,0,1,0.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,twoshot,22,1,0,1,0.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,zeroshot,5,1,0,0,0.0,0.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,oneshot-tracker,8,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,oneshot-warehouse,8,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,twoshot,9,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,zeroshot,9,1,1,1,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,oneshot-tracker,4,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,oneshot-warehouse,4,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,twoshot,4,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,zeroshot,5,3,3,3,1.0,1.0
